type,sample,version,predicted_verdict,root_cause
FN,498-00.httpformat,1.1.2,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,AutoMind.automindX,1.0.1,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,BenjaminFriedl.lexica-img-fix,0.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,BlockchainIndustries.bitcoin-toolkit,0.0.1,SUSPICIOUS,Code never executed its payload in the sandbox (gated/dormant) but static did see indicators that scored below threshold — consider lowering the static threshold or strengthening de-obfuscation.
FN,BlockchainIndustries.hardhat-toolkit,0.0.1,SUSPICIOUS,Code never executed its payload in the sandbox (gated/dormant) but static did see indicators that scored below threshold — consider lowering the static threshold or strengthening de-obfuscation.
FN,BlockchainIndustries.solana-toolkit,0.0.1,SUSPICIOUS,Code never executed its payload in the sandbox (gated/dormant) but static did see indicators that scored below threshold — consider lowering the static threshold or strengthening de-obfuscation.
FN,Bobronium.darcula-from-pycharm,0.9.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,CodamaSoftware.ai-docs-and-comments,0.0.8,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,EchelonStudios.blockchain-language-support,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,EthCompiler.among-eth,1.0.2,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,JohnGaffney.blankebesxstnion,1.0.2,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,OPENEDAI.OPENEDAI,0.4.51,BENIGN,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,OktayAydoan.smarty-formatter,2.1.2,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,priyanshumallick.clipboard-history-manager,0.1.0,BENIGN,"Dynamic analysis was killed/timed-out before any behaviour surfaced, and static found no IOC. Mitigation: raise per-sample timeout or memory guard."
FN,Puglight.discoverito,0.0.1,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,Puglight.inspiredaily,0.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,Puglight.persistorito,0.0.1,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,RabobankAI.rabobank-code-assistant,0.5.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,SFRA-FAKA.sfra-toolkit,0.0.2,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,SmartContractAI.solaibot,1.4.2,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,StefanYosif.axion-ai,1.0.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,Vsceue.volar-vscode,3.1.6,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,WhenSunset.chatgpt-china,9.5.3,BENIGN,Runtime activity occurred but matched no malicious signature (behaviour indistinguishable from benign at observation time).
FN,ab-498.cppformat,1.0.8,BENIGN,Runtime activity occurred but matched no malicious signature (behaviour indistinguishable from benign at observation time).
FN,ab-498.cppplayground,1.0.42,SUSPICIOUS,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,ab-498.httpformat,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,ab-498.pythonformat,1.0.50,BENIGN,Runtime activity occurred but matched no malicious signature (behaviour indistinguishable from benign at observation time).
FN,bphpburnsus.Iconesvscode,12.15.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,codevsce.codelddb-vscode,1.11.9,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,csvmech.csvrainbow,3.3.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,cweijamysq.sync-settings-vscode,0.18.2,BENIGN,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,eamodas.shiny-vscode,1.3.2,BENIGN,Observed activity scored below the MALICIOUS threshold (likely SUSPICIOUS) — borderline behaviour; tune weights or treat SUSPICIOUS as positive.
FN,embeddteam.embedded-build-analyzer,1.1.3,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,embeddteam.embedded-cortex-debug,1.14.0,SUSPICIOUS,Code never executed its payload in the sandbox (gated/dormant) but static did see indicators that scored below threshold — consider lowering the static threshold or strengthening de-obfuscation.
FN,embeddteam.embedded-cortex-debug,1.14.1,SUSPICIOUS,Code never executed its payload in the sandbox (gated/dormant) but static did see indicators that scored below threshold — consider lowering the static threshold or strengthening de-obfuscation.
FN,embeddteam.embeddedprojectmanager,0.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,embeddteam.embeddedprojectmanager,0.0.2,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,flutcode.flutter-extension,3.122.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,garytyler.darcula-pycharm,1.0.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,hajoo.poisoned-extension,1.0.3,SUSPICIOUS,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,krabt.krabt-extension-pack,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,krabt.krabt-proto,0.5.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,kraftwer1.darcula-extra,0.6.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,labfile.labfile,0.0.5,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,ovixcodes.basedpyright-vscode,1.34.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,rafaelrenanpacheco.darcula-theme,1.18.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.glm-copilot,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.glm-copilot,1.0.12,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.glm-copilot,1.0.4,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.glm-copilot,1.0.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.glm-copilot,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-coding-copilot,1.0.12,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-coding-copilot,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-copilot,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-copilot,1.0.12,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-copilot,1.0.4,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-copilot,1.0.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.kimi-copilot,1.1.0,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.mimo-copilot,1.0.1,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.mimo-copilot,1.0.12,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.mimo-copilot,1.0.4,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
FN,sanchuan.mimo-copilot,1.0.7,BENIGN,No runtime behaviour executed AND no static IOC present — the sample ships functional/clean code with no observable payload (clean re-publish or dormant first-stage). Behavioural+content analysis cannot reach it; requires publisher-reputation / threat-intel.
